,0
0,['I Just Flew. It Was Worse Than I Thought It Would Be.']
1,['UK \'to bring in 14-day quarantine\' for air passengers']
2,['The Future of Travel']
3,['How the Coronavirus Will Change Airports']
4,['Vacationing in a pandemic: Coronavirus-wary Americans expected to forgo flights in favor of road trip getaways this summer']
5,"['Coronavirus live blog, May 8, 2020: Nonprofits distribute thousands of pounds of food, PPE in Bronzeville']"
6,"['Republicans stall on next coronavirus relief bill, United Airlines halts $2.25 billion bond offering']"
7,['Stranded Royal Caribbean Celebrity Infinity cruise ship leaves Illinois singer stuck at sea nearly 2 months b…']
8,['Cruise the Zoo: Phoenix Zoo offers self-guided drive-thru tours']
9,"['Airline stocks suffer broad selloff as American, Delta fall to new COVID-19 lows']"
10,['New requirements ahead for airline passengers arriving in Hawaii']
11,['Here\'s what global travel could be like after COVID-19']
12,['Coronavirus World News: Live Updates']
13,"['How lax rules, missed warnings led to Japan\'s second coronavirus cruise-ship hot spot']"
14,"['Coronavirus: Young people are keen to fly again, says airline boss']"
15,['factorydesign introduces \'isolate\' partition screen for air travel post COVID-19']
16,['Coronavirus response: International travel information | Berkeley News']
17,['Coronavirus News: Elmhurst Hospital staff surprised with free vacations']
18,"['The people waiting out Covid-19 in dark, frozen Antarctica']"
19,['Southwest and American Are Bringing Back Some International Flights — What to Know']
20,['Key West residents want to limit cruise ships']
21,['Roseburg couple\'s vacation cruise turns into a pandemic nightmare']
22,"['In the Fight to Treat Coronavirus, Your Lungs Are a Battlefield']"
23,"['UC Berkeley Graduate Files Suit After Cruise Canceled, Refund Denied']"
24,['Coronavirus: What global travel may look like ahead of a vaccine']
25,['San Francisco targets May 18 for some businesses to resume as California unveils reopening guidelines']
26,['Crew trapped on German cruise ship vent anger at TUI']
27,['Refunding Delta flights was quick and easy with patience and know-how']
28,['Coronavirus Might Hobble Sabre’s Travel Tech Ambitions for Months']
29,['Screenings Were Porous as Trump Spurred Exodus From Virus Hot Spots']
30,['Why Empty Planes Keep Flying Through the Pandemic']
31,[]
32,"['GE Aviation plans to cut 13,000 jobs as coronavirus hits air travel demand']"
33,"['COVID-19 shutdowns are clearing the air, but pollution will return as economies reopen']"
34,['What will staying in a hotel look like in the near future?']
35,['Airline Adjustments Following the Coronavirus Pandemic']
