,headlines,content,date,headlines_en,content_en,stem_headline_en,emotion
0,150 doden door corona in gehandicaptenzorg: 'deze groep wordt vergeten',"het coronavirus raakt mensen met een lichamelijke of verstandelijke beperking hard, maar er is volgens betrokkenen weinig aandacht voor hun situatie. ""deze ...",22-04-20,"150 deaths in corona disabled: ""This group is forgotten","coronavirus affects people with a physical or mental disability hard, but there is as involved little attention to their situation. ""this one ...","['150', 'death', 'corona', 'disabled', 'This', 'group', 'forgotten']",sadness
1,"corona-update | emoties bij video uit enschede, waarschuwing voor thuiskappers","enschede - het twentse nieuws omtrent het coronavirus volgt zich in zo'n hoog tempo op, dat het bijna niet bij te benen is. daarom maken we elke dag een ...",22-04-20,"corona Update | Emotions video from Enschede, warning home hairdressers","Enschede - the Twente news about the coronavirus follow in such rapid succession that it is almost impossible to catch up. Therefore, we make every day a ...","['corona', 'Update', 'Emotions', 'video', 'from', 'Enschede', 'warning', 'home', 'hairdresser']",fear
2,forse toename doden en besmettingen door corona in verpleeghuizen,de uitbraak van het coronavirus neemt in verpleeghuizen in ernst toe. het aantal geregistreerde sterfgevallen is sinds vorige week met ruim 200 opgelopen tot ...,22-04-20,sharp increase in deaths and infections by corona in nursing homes,the outbreak of the coronavirus increases in nursing homes in severity. the number of registered deaths since last week with more than 200 rose to ...,"['sharp', 'increase', 'death', 'and', 'infection', 'corona', 'nursing', 'home']",sadness
3,"veel twijfel over corona-app, maar ontwikkeling gaat door","na een week vol kritiek op de zeven gepresenteerde corona-apps, houdt minister de jonge van volkgezondheid goede moed. ""ik geloof nog steeds in een app"" ...",22-04-20,"much doubt corona app, but development continues","After a week of criticism of the seven presented corona apps, minister of good cheer the young people of health. ""I still believe in an app"" ...","['much', 'doubt', 'corona', 'app', 'but', 'development', 'continues']",anger
4,vs: china meldde corona-uitbraak veel te laat,de verenigde staten vinden dat china de uitbraak van het coronavirus te laat heeft gemeld bij de wereldgezondheidsorganisatie (who). „en zelfs daarna ...,22-04-20,US: China reported corona outbreak overdue,"the United States found that China has reported the outbreak of coronavirus late at the World Health Organization (WHO). ""And even then ...","['China', 'reported', 'corona', 'outbreak', 'overdue']",fear
5,"ggd kan vaker testen op corona, maar werkwijze moet beter",olgens minister hugo de jonge van volksgezondheid is er bij de ggd voldoende ruimte om vaker te testen op corona.,22-04-20,"GCD can often test corona, but process must be improved",ccording Minister Hugo Young of public health is at the GCD enough space to more frequent testing corona.,"['GCD', 'can', 'often', 'test', 'corona', 'but', 'process', 'must', 'improved']",anger
6,veel nieuwe besmettingen scheuren in geprezen corona-aanpak singapore,nog geen maand geleden keek de wereld vol bewondering naar singapore. het land leek het coronavirus onder controle te hebben. maar nu stijgt het aantal ...,22-04-20,many new infections cracks praised corona approach singapore,"less than a month ago, the world watched with admiration for Singapore. it appeared to have the coronavirus under control. but now the number is rising ...","['many', 'new', 'infection', 'crack', 'praised', 'corona', 'approach', 'singapore']",anger
7,corona in friesland - 22 april | burgemeesters wilden geen extra versoepeling voor noorden en onrust bij zorgpersoneel over beschikbaarheid mondmaskers,zorgen op schiermonnikoog. vooralsnog is er geen gemelde besmetting met het coronavirus op het eiland. om dat zo te houden is het zaak om zo weinig ...,22-04-20,corona in Friesland - April 22 | mayors did not want additional easing for North and unrest among health personnel availability mouth masks,"worries schiermonnikoog. yet there is no reported infection with the coronavirus on the island. to keep it that way, it is important to so few ...","['corona', 'Friesland', 'April', 'mayors', 'did', 'not', 'want', 'additional', 'ease', 'for', 'North', 'and', 'unrest', 'among', 'health', 'personnel', 'availability', 'mouth', 'mask']",anger
8,heb ik hooikoorts of is het corona? dit zijn de verschillen en dit kun je doen,de vroege symptomen van hooikoorts en corona lijken verraderlijk veel op elkaar. zo herken je de verschillen en dit kun je doen.,22-04-20,I have hay fever or the corona? These are the differences that you can do,The early symptoms of hay fever and corona seem deceptively similar. if you recognize the differences and this can be done.,"['have', 'hay', 'fever', 'the', 'corona', 'These', 'are', 'the', 'difference', 'that', 'you', 'can']",sadness
9,zo onderzoekt sanquin hoeveel mensen corona-antistoffen hebben,het eerste resultaat van het onderzoek naar het aantal nederlanders met antistoffen tegen het coronavirus riep veel vragen op bij nu.nl-lezers. een uitleg van ...,22-04-20,so Sanquin examines how many people have coronavirus antibodies,the first result of the investigation into the number of Dutch with antibodies to the coronavirus raised many questions at nu.nl readers. an explanation of ...,"['Sanquin', 'examines', 'how', 'many', 'people', 'have', 'coronavirus', 'antibody']",disgust
